qid,model,prompt,resp
10,ground_truth,"幫我把下列英文文章翻譯成中文：
The annual challenge to climb Mount Fuji became more expensive this season, along with the number of climbers per day sharply curtailed.
The Yamanashi prefectural assembly unanimously approved an ordinance on March 4 requiring a 2,000 yen toll for climbing Japan’s highest peak from the Yoshida trail in the prefecture.
In a regulation to enact the ordinance, the prefecture also plans to limit the number of climbers per day to 4,000. The new rules will go into effect this summer to mitigate congestion.
Climbers will be barred from further going up the route if they don’t pay the toll at a checkpoint installed at the fifth station of the mountain.","攀登富士山此一年度挑戰本季將變得更貴，外加大砍每日獲准登山的人數。
（日本）山梨縣縣議會3月4日無異議通過的一項條例規定，從該縣的吉田路線攀登這座日本最高峰，要繳2千日圓的通行費。
在該條例的施行規則中，該縣還計劃將每日登山人數限制在4千人。該新規定將在今夏生效，以緩解登山擁塞。
登山客若不在設置於富士山五合目的檢查哨繳費，將被禁止從吉田路線登山。"
11,ground_truth,"以下提供英文文章，請幫我翻譯成中文：
Sunny prides herself on being a law-abiding Singaporean citizen, but for the last three years, she’s been hiding a feline fugitive called Mooncake.
The fluffy ragdoll lives with Sunny in defiance of a 34-year-old law banning cats in the government-built apartments that house the vast majority of Singaporeans.
Luckily for Mooncake, Singapore plans to scrap the ban later this year, freeing Sunny from the threat of a S$4,000 fine or her pet’s potential eviction.
""Cats are so much quieter than dogs. If they allow dogs, I don’t understand why not cats,"" said 30-year-old Sunny.
Authorities rarely enforce the ban, which only applies to the high-rise Housing and Development Board (HDB) apartment blocks where 80% of 3.6 million Singaporeans live, and it has long been flouted by countless cat lovers.","桑妮為自己是1名守法的新加坡公民而自豪，但在過去3年裡，她一直藏匿1隻名叫「月餅」的逃亡貓。
這隻毛茸茸的布偶貓與桑妮住在一起，違反1項已有34年歷史的法律，該法律禁止貓進入政府建造的公寓，而絕大多數新加坡人都住在政府建造的公寓。
對「月餅」來說，幸運的是，新加坡計畫在今年稍後廢除這項禁令，讓桑妮免受4000新幣罰款，或她的寵物可能被驅逐的威脅。
30歲的桑妮說：「貓比狗安靜多了。如果政府允許養狗，我不懂為何不能養貓。」
當局很少執行這項禁令，該禁令只適用於新加坡建屋發展局規劃的高層公寓大樓；360萬名新加坡人中，有80％居住在這類公寓大樓，無數愛貓人士長期以來一直蔑視這項禁令。"
12,ground_truth,"幫我把下列英文文章翻譯成中文：
A bedbug scare in Paris last autumn that grabbed headlines across the globe was artificially amplified by social media accounts linked to Russian ""disinformation"" activities, a French minister said on Friday.
""The bedbug polemic was in a very large part amplified by accounts linked to the Kremlin, and they even created a false link between the arrival of Ukrainian refuges and the spread of bedbugs,"" French European affairs minister Jean-Noel Barrot told TF1 television.
After social media users published footage of the insects crawling around in high-speed trains and the Paris metro, French and foreign media widely reported on the scare.
Asked if the government believes Russian accounts had ""orchestrated"" the panic, Barrot did not confirm, saying instead the disinformation campaign ""amplified"" an existing scare with the aim of creating a sentiment of insecurity. ","上個秋季成為全球頭條的一場巴黎床蝨恐慌，是被和俄羅斯「假資訊」行動有關聯的社群媒體帳號人為放大的，法國一名部長週五說。
法國歐洲事務部長尚—諾爾‧巴霍向TF1電視台說，「這場床蝨論戰，很大一部份是被和克里姆林宮有關聯的帳號放大，他們甚至捏造烏克蘭難民入境和床蝨蔓延之間的連結」。
在社群媒體用戶發表這些蟲子在高鐵和巴黎捷運四處爬的影像後，法國和外國媒體廣泛報導了這場驚慌。
被問到政府是否相信，俄羅斯帳號「策劃」這起恐慌，巴霍並未證實，但他說這場假資訊行動，帶著製造一種不安情緒的目的，「放大了」既有的恐懼。"
13,ground_truth,"我需要一個中文的翻譯：
JPMorgan Chase CEO Jamie Dimon says he’s hopeful the Federal Reserve can bring down inflation without causing a recession but wouldn’t rule out more troubling possibilities, such as stagflation.
In an interview with The Associated Press, Dimon said he remained “cautious” about the U.S. economy and said inflation may be stickier for longer and that stagflation is on the list of possible things that could happen to the U.S. economy.
Dimon did emphasize that he’s still “hopeful” for the U.S. economy to experience a soft landing, where growth slows but the economy avoids a recession even if inflation remains a little high, but he’s not certain that is the most likely outcome.","摩根大通執行長傑米‧戴蒙說，他希望聯準會能在不引發衰退的情形下降低通膨，但不排除更令人不安的可能性，比如停滯性通膨。
在接受美聯社的訪問中，戴蒙說，他對於美國經濟仍持「謹慎」態度，並表示，更具黏性的通膨或許持續較長時間，而在美國經濟可能發生的事項上，停滯性通膨榜上有名。
戴蒙確實強調他仍「希望」美國經濟經歷軟著陸，亦即經濟成長放緩，但避免步入衰退，即使通膨仍有一點高，但他不確定那是最可能出現的結果。"
14,ground_truth,"請將這段英文翻譯成中文：
The U.S. Food and Drug Administration’s accelerated approval program is meant to give patients early access to promising drugs. But how often do these drugs actually improve or extend patients’ lives?
In a new study, researchers found that most cancer drugs granted accelerated approval do not demonstrate such benefits within five years.
The program was created in 1992 to speed access to HIV drugs. Today, 85% of accelerated approvals go to cancer drugs.
The new study found that between 2013 and 2017, there were 46 cancer drugs granted accelerated approval. Of those, 63% were converted to regular approval even though only 43% demonstrated a clinical benefit in confirmatory trials.","美國食品暨藥物管理局（FDA）的加速批准計畫，旨在讓患者儘早獲得可能有效的藥物。但是，這些藥物實際上多久能改善或延長患者的生命呢？
在一項新研究中，研究人員發現，大多數獲得加速批准的抗癌藥物，在隨後5年內並未證實其療效。
該計畫創建於1992年，旨在加快獲得用於治療愛滋病毒藥物的速度。如今，85％的加速批准用於抗癌藥物。
這項新研究發現，在2013年至2017年期間，有46種抗癌藥物獲得加速批准。其中，63％轉為常規批准，儘管只有43％在驗證性試驗中顯示臨床益處。"
15,ground_truth,"幫我把下列英文文章翻譯成中文：
A shortage of eggs in shops during Holy Week has led Norwegians to flock to supermarkets across the border in Sweden and hoard the traditional Easter food.
Norwegian news outlet Nettavisen said Thursday that the Nordby shopping center in Sweden, located just off the border about 100 kilometers south of the capital, Oslo, has been filled by “desperate” Norwegians trying stock up on eggs.
The center’s Maxi-Mat food store ran out of eggs Tuesday, while the adjacent Nordby Supermarket has had to limit the number of eggs purchased to three 20-packs per household, the news outlet reported.
Concerns about overproduction of eggs in Norway led to farmers being offered compensation to reduce egg production. That and the effects of bird flu have led to a shortage, according to news reports.","聖週期間商店裡雞蛋短缺，導致挪威人湧向瑞典邊境的超市，囤積傳統的復活節食品。
挪威新聞媒體「網路報」週四說，首都奧斯陸以南約100公里位於邊境附近的瑞典「諾德比」購物中心，擠滿了「奮不顧身」的挪威人，他們試圖囤積雞蛋。
該新聞媒體報導，該購物中心的「Maxi-Mat」食品店雞蛋告罄，而一旁的「諾德比超市」不得不將每戶購買雞蛋數量限制為3盒20顆裝。
擔心挪威雞蛋產量過剩，農民因而獲得減少雞蛋產量的補償。根據新聞報導，這種情況以及禽流感的影響，導致雞蛋短缺。"
16,ground_truth,"幫我把下列英文文章翻譯成中文：
John and Melody Hennessee opted for an exciting and cost-effective permanent cruise lifestyle, currently sailing worldwide and planning to reside on a unique residential cruise ship.
76-year-old John and 64-year-old Melody, both from Florida, sold nearly all of their belongings three years ago, including their main business and their home.
The lovebirds are reportedly now cruising around the Dominican Republic, Sky News reported.
And as much as their new life at sea has been all the more exciting, it’s the cheaper cost of living that has made it all worth it.
""We no longer have a mortgage or the expense of homes. We no longer have vehicle insurance, property insurance, or utility bills. We are certain cruising is cheaper. Right now it is probably close to half of what it was when we lived on land.""","約翰和美樂蒂‧軒尼詩選擇了令人興奮且划算的永久性郵輪生活，他們計畫住在一艘獨一無二的住宅式郵輪上，目前正環遊世界。
來自佛羅里達州的76歲約翰和64歲美樂蒂，在3年前賣掉幾乎所有財產，包括主要的事業和房屋。
根據《天空新聞》報導，這對眷侶目前航行到多明尼加共和國附近。
就像他們的海上新生活更令人興奮一樣，生活成本更便宜也讓這一切很值得。
「我們不再有貸款或住房費用，我們不再有車險、財險或水電費。我們確信郵輪生活更省錢，現在的開銷可能接近我們生活在陸地上的一半。」"
17,ground_truth,"以下提供英文文章，請幫我翻譯成中文：
Jon Stewart’s tearful farewell to his dog, Dipper, on The Daily Show Monday quickly had the New York City animal shelter the pup came from inundated with donations. Five days later, the money is still rolling in.
""We’re just shy of $50,000,"" Tiffany Lacey, Animal Haven’s executive director, told CBS News on Friday.
""This is in memory of Dipper, so the donations will be used for the dogs,"" notably vet care, training, food and treats, Lacey added.
The no-kill shelter, which is in Manhattan, has an operating budget of about $3 million and houses about 100 dogs and cats.","（美國電視脫口秀主持人）喬恩．史都華週一在《每日秀》節目上淚別愛犬「迪普」，迅速讓「迪普」出身的那家紐約市的動物收容所收到大量捐款。5天後，捐款仍源源不絕。
「我們（收到的捐款）逼近5萬美元」，動物收容所「動物天堂」的執行長蒂芬妮．雷西週五告訴哥倫比亞廣播公司新聞。
雷西還說：「這（大量湧入的捐款）是緬懷『迪普』，所以捐款將用於狗的身上，」特別是看獸醫、接受訓練、採買狗食與零嘴。
這家位於（紐約市）曼哈頓、主張不撲殺的動物收容所的營運預算約有300萬美元，目前收容約100隻犬貓。"
18,ground_truth,"請將這段英文翻譯成中文：
The number of babies born in Japan fell for an eighth straight year to a fresh record low in 2023, preliminary government data showed on Tuesday, underscoring the daunting task the country faces in trying to stem depopulation.
The number of births fell 5.1% from a year earlier to 758,631, while the number of marriages slid 5.9% to 489,281 － the first time in 90 years the number fell below 500,000 － foreboding a further decline in the population as out-of-wedlock births are rare in Japan.
""The declining birthrate is in a critical situation,"" Chief Cabinet Secretary Yoshimasa Hayashi told reporters. ""The next six years or so until 2030, when the number of young people will rapidly decline, will be the last chance to reverse the trend.""","2023年日本新生兒人數連續第8年下跌，達到新低紀錄，週二的政府初步數據顯示，凸顯該國在設法遏止人口減少上，面臨艱鉅任務。
這項出生人數比前一年減少5.1％，減至75萬8631人，同時結婚人數下滑5.9％至48萬9281對，是90年來首次低於50萬對，由於日本非婚生子相當罕見，因此這預示人口將進一步減少。
內閣官房長官林芳正向記者說，「出生率減少處於危急情況」，「到2030年為止的接下來6年左右，將是逆轉這個趨勢的最後機會，屆時年輕人數量會急遽減少」。"
19,ground_truth,"幫我把下列英文文章翻譯成中文：
It rained marshmallows at a suburban Detroit park on Friday as children raced to snatch up thousands of the gooey treats being dropped from a helicopter.
The annual Great Marshmallow Drop took place at Catalpa Oaks County Park in Southfield, hosted by Oakland County Parks.
Hundreds of children waved and cheered as the helicopter passed by on its way to the drop zone. Once there, a passenger dumped the treats out of a sack and onto the grass below and children darted to collect them.
“It was just a celebration. The weather is beautiful, so we were happy to get outdoors and interact and pick up some marshmallows,” said Robin Kinnie, the mother of three Great Marshmallow Drop participants, one of whom took part in a special drop reserved for children with disabilities.
“Being a special needs mom, I love seeing events like these that are catered toward him, so he doesn’t feel excluded,” Kinnie said. ","底特律郊區一處公園週五下起棉花糖雨，孩子們爭相搶奪從直升機投下的成千上萬塊黏糊糊零食。
由奧克蘭郡公園處主辦，一年一度的「棉花糖大降落」活動在紹斯菲爾德的梓櫟郡公園舉行。
那架直升機飛往降落區的途中經過時，成百上千名兒童揮手歡呼。到達後，一名乘客把零食從一個袋子倒到下方草地上，然後孩子們衝過去領取它們。
3個孩子都是「棉花糖大降落」參與者且其中一個參加了保留給身障兒童的特別空投，3寶媽羅賓．金尼說，「這只是一場慶祝活動。天氣很好，所以我們很高興能到戶外互動並撿些棉花糖」。
金尼說，「作為一名有特殊需求的媽媽，我喜歡看到這類迎合他的活動，這樣他就不會覺得被排除在外。」"
20,ground_truth,"我需要一個中文的翻譯：
Retired catering carts used in Shinkansen will go on sale, targeting a small but dedicated community of nostalgic train buffs willing to fork out 100,000 yen per unit.
The 50 carts up for sale were used on the Tokaido Shinkansen Line for five to nine years until 2023, offering food and drinks to bullet train passengers.
The carts were retired in October last year when the train operator ended catering service on the line － to the dismay of many passengers.
Catering service on the Tokaido Shinkansen Line started soon after the route opened in 1964, serving refreshments, bento box lunches, coffee and beloved ice cream.","（日本）新幹線的退役餐飲推車將出售，客群鎖定一小撮懷舊、願為每輛要價10萬日元的餐車買單的鐵道迷。
50輛待售的餐飲推車曾在東海道新幹線服役5到9年直至2023年，為子彈列車的乘客提供餐飲。
在鐵道營運業者做出令許多乘客沮喪的終止該路線的餐飲服務的決定後，這些餐飲推車在去年10月退役。
東海道新幹線的餐飲服務始於1964年該路線開通後不久，提供點心、便當、咖啡，以及深受喜愛的冰淇淋。"
21,ground_truth,"以下是一篇英文內容，請幫我翻譯成中文：
New Zealand opened its first hospital exclusively treating kiwi birds, and vets have already nursed the first patient back to health － a chick nicknamed ""Splash"" that tumbled into a swimming pool.
Rising numbers of the once-threatened national bird have led to the construction of a purpose-built facility in Kerikeri, a three-hour drive north of Auckland.
The rehabilitation centre is in the heart of the Northland region, which has a brown kiwi population of nearly 10,000.
The Department of Conservation said the population growth is a result of successful predator management, ""but without sustained effort, brown kiwi could easily slide back into a threatened status.""","紐西蘭開設該國第一家專門治療奇異鳥的醫院，而且獸醫已經照料首名患者恢復健康—一隻跌進游泳池、被暱稱為「嘩啦」的雛鳥。
這種一度瀕危的國鳥數量增加，促使在奧克蘭以北、開車3小時的凱里凱里設立這間專門設施。
這家療養中心位於北地大區心臟地帶，該地區的北島褐鷸鴕族群數量將近1萬隻。
保育部說，奇異鳥族群增加，是掠食動物管理成功的成果，「但沒有持續努力，北島褐鷸鴕很容易就又回到受威脅地位」。"
22,ground_truth,"請翻譯成中文：
A slew of Federal Reserve officials emphasized that there is no urgency to lower interest rates, pointing to still-elevated inflation and a robust labor market.
That included comments from both the Boston Fed’s Susan Collins as well as San Francisco’s Mary Daly. Atlanta’s Raphael Bostic repeated his view for one rate cut toward the end of the year, and Kansas City’s Jeffrey Schmid noted he prefers a “patient” approach to reductions.
“There’s absolutely, in my mind, no urgency to adjust the policy rate,” Daly said at an event in San Francisco.
Schmid also said policymakers should wait for “clear and convincing” evidence that inflation is headed back toward 2% before lowering interest rates, rather than adjusting policy preemptively.","多名聯邦儲備（銀行）官員強調，沒有降息的急迫性，他們提及仍居高不下的通膨，以及穩健的勞動市場。
做出這些評論的包括波士頓聯邦儲備銀行的科林斯，與舊金山的達利。亞特蘭大的波斯提克重申今年底降息1次的觀點，堪薩斯城的施密德則提到他偏向「耐心」的降息方式。
「在我看來，絕對沒有調整政策利率的急迫性」，達利在舊金山一場活動上說。
施密德也表示，決策者應等待「明確且令人信服」的證據，顯示降息之前，通膨朝著2％回落，而非搶先調整政策。"
23,ground_truth,"幫我把下列英文文章翻譯成中文：
A book from Egypt that was written at the dawn of Christianity and is considered one of the oldest books in existence will go up for auction in June in London.
The Crosby-Schoyen Codex - written in Coptic on papyrus around 250-350 AD, and produced in one of the first Christian monasteries - has an estimated sale value of $2.6 million to $3.8 million, according to Christie’s.
The 104 pages (52 leaves) were written by one scribe over a period of 40 years at a monastery in upper Egypt and are preserved behind plexiglass. The codex contains the first epistle of Peter and the Book of Jonah.
The codex was discovered in Egypt in the 1950s and acquired by the University of Mississippi, where it remained until 1981. Norwegian manuscript collector Dr. Martin Schoyen acquired it in 1988 and is now auctioning it off with some other highlights of his Shoyen Collection, one of the largest private manuscript collections in the world.","埃及一本寫於基督教黎明之時的書籍，被視為現存最古老書本之一，將在六月於倫敦進行拍賣。
據佳士得說法，西元250至350年間，克羅斯比-舒延手抄本在早期的一間基督教修道院中，以科普特語在莎草紙上寫成。預估拍出價格為260萬至380萬美元。
這本104頁（52張）的手抄本由一名抄寫員於上埃及的一座修道院中花費40年著書。現在保存在有機玻璃後。手抄本包含了彼得前書和約拿書。
手抄本於1950年代從埃及出土，由密西西比大學取得並保有至1981年。挪威手抄本蒐集家馬丁．舒延博士在1988年取得。如今與其它的舒延收藏一些精品品項一同拍賣。舒延收藏是全世界最具規模的私人手抄本收藏之一。"
24,ground_truth,"以下是一篇英文內容，請幫我翻譯成中文：
Hong Kong’s luxury retailers are adapting to fewer wealthy Chinese shoppers visiting the city and a shift towards tourists flocking to Instagram-coveted spots in trendy districts rather than splashing out on pricey branded gear.
Before the pandemic, the Chinese special administrative region had bucked global trends of declining demand for multi-brand department stores and ultra-luxury brands largely due to its attractiveness to high-spending mainland visitors.
But the rise of competing shopping hubs like China’s Hainan island, changing consumer preferences and a rise in online shopping have fundamentally changed demand for luxury goods in Hong Kong and are starting to reshape the city’s visitor economy, according to industry experts.","（由於）較少有錢的中國血拚族訪港，以及遊客轉而湧向流行區的IG網紅景點而非花大錢買昂貴的名牌貨，香港奢侈品零售業者正為此做調適。
武肺疫情爆發前，儘管對集合眾多品牌的百貨公司以及超奢名牌的需求降低已成全球趨勢，香港這個中國特區卻逆勢而上，（其原因）大抵上在於香港對花錢不手軟的中客頗具吸引力。
根據業界專家，但像海南島等與香港爭奪購物樞紐寶座的地區的崛起、消費者偏好改變，以及網上購物的興起，對香港奢侈品的需求已從根本上改變，並且開始重塑香港的遊客經濟。"
